date,title,price,weight,kind,site,location
2022-08-24 12:44:02,"(드디어~ 첫수확! 초초초특가) 초록 아오리 햇사과 4kg(14-25과)(중소랜덤) 첫수확 초특가, 1, 아오리 햇사과 4kg, 1박스",9900,4,아오리,Coupang,
2022-08-24 12:44:04,"맛있는 사과 가정용 흠집사과 못난이 당도보장, 1박스, 5kg",19800,5,,Coupang,
2022-08-24 12:44:10,"직거래농민장터 햇 꿀 홍로사과 5kg 10kg 거창 함양 장수 사과, 1박스, 홍로 사과 5kg 23-25과 내외 소과",29900,5,홍로,Coupang,경상남도
2022-08-24 12:44:13,"새콤하고 풋풋한 가정용 아오리사과, 아오리사과 8kg 중대과 18-38과내외",20900,8,아오리,Coupang,
2022-08-24 12:44:15,"소미네 경북사과, 1box, 2.가정용 흠과 2kg 중소과",15900,2,,Coupang,
2022-08-24 12:44:16,"세척 알프스오토메(미니사과), 2kg, 25-30g",16500,2,,Coupang,
2022-08-24 12:44:21,"청송사과 여름사과 가정용사과 햇사과 꿀사과 홍로사과 3kg 5kg, 푸띠 청송 햇 홍로사과 3kg 13-15과",15800,3,홍로,Coupang,경상북도
2022-08-24 12:44:24,"[산지애] [2022햇사과] 씻어나온 꿀사과 3kg 1box, 상세 설명 참조",28890,3,,Coupang,
2022-08-24 12:44:28,"[명품농원] 당도선별 문경사과 선물세트 가정용 홍로 5kg, 1박스, 05. 명품농원 중소과 5kg(20~21과)-선물용",35000,5,홍로,Coupang,경상북도
2022-08-24 12:44:32,"[명품농원] 당도선별 문경사과 선물세트 가정용 홍로 5kg, 1박스, 03. 명품농원 중과 5kg(17~19과)-선물용",39900,5,홍로,Coupang,경상북도
2022-08-24 12:44:37,"사과가 쿵!, 보림",8550,0,,Coupang,
2022-08-24 12:44:39,"영주소백산 햇아오리사과 가정용5kg 8kg 10kg산지직송, 8kg특대과(20~21과내외)",38480,8,아오리,Coupang,경상북도
2022-08-24 12:44:44,"경북사과 햇 아오리 사과10kg 5kg 3kg [산지직송] 산들정, 1box, 03. 아오리 5kg (21~26과 내외)가정용흠과",19900,5,아오리,Coupang,
2022-08-24 12:44:50,"클라스가 다른 경북 햇 홍로 사과 가정용 10kg, 1박스, 경북 햇 홍로 사과 가정용 10kg 34-38과",36900,10,홍로,Coupang,경상남도
2022-08-24 12:44:52,"사과사랑 아삭아삭 사과, 가정용 사과 8kg 꼬마소과",19200,8,,Coupang,
2022-08-24 12:44:56,"[명품농원] 당도선별 문경사과 선물세트 가정용 홍로 5kg, 1박스, 01. 명품농원 대과 5kg(14~16과)-선물용",47000,5,홍로,Coupang,경상북도
2022-08-24 12:45:00,"경북 햇 아오리 세척사과 (가정용) 5kg, 1박스, 아오리 세척사과 (가정용) 5kg 25-28과",15900,5,아오리,Coupang,경상남도
